_ALCC,2022-11-03T07:00:00+00:00,48550000,48.55M,63950000,63.95M,0.0,0.00%
_ALCO,2022-11-03T07:00:00+00:00,4570000,4.57M,7570000,7.57M,0.0422,4.22%
_ALDX,2022-11-03T07:00:00+00:00,45700000,45.70M,58300000,58.30M,0.0496,4.96%
_ALGS,2022-11-03T07:00:00+00:00,33150000,33.15M,42670000,42.67M,0.0106,1.06%
_ALIM,2022-11-03T07:00:00+00:00,5610000,5.61M,7000000,7.00M,0.0038,0.38%
_ALKT,2022-11-03T07:00:00+00:00,54840000,54.84M,90710000,90.71M,0.0246,2.46%
_ALLT,2022-11-03T07:00:00+00:00,35000000,35.00M,36830000,36.83M,0.0039000000000000003,0.39%
_ALOT,2022-11-03T07:00:00+00:00,6950000,6.95M,7310000,7.31M,0.0016,0.16%
_ALPN,2022-11-03T07:00:00+00:00,40870000,40.87M,43940000,43.94M,0.045,4.50%
_ALPS,2022-11-03T07:00:00+00:00,24200000,24.20M,33800000,33.80M,0.0011,0.11%
_ALRS,2022-11-03T07:00:00+00:00,17630000,17.63M,19990000,19.99M,0.0152,1.52%
_ALT,2022-11-03T07:00:00+00:00,48670000,48.67M,49020000,49.02M,0.1448,14.48%
_ALTG,2022-11-03T07:00:00+00:00,24930000,24.93M,31930000,31.93M,0.011000000000000001,1.10%
_ALTU,2022-11-03T07:00:00+00:00,4850000,4.85M,12550000,12.55M,0.0678,6.78%
_ALVR,2022-11-03T07:00:00+00:00,46520000,46.52M,64470000,64.47M,0.09820000000000001,9.82%
_ALXO,2022-11-03T07:00:00+00:00,30000000,30.00M,40690000,40.69M,0.14650000000000002,14.65%
_ALYA,2022-11-03T07:00:00+00:00,49820000,49.82M,92650000,92.65M,0.0003,0.03%
_ALZN,2022-11-03T07:00:00+00:00,47240000,47.24M,97480000,97.48M,0.04,4.00%
_AMAL,2022-11-03T07:00:00+00:00,26730000,26.73M,30820000,30.82M,0.0362,3.62%
_AMAO,2022-11-03T07:00:00+00:00,730000,0.73M,4540000,4.54M,0.0048,0.48%
_AMBC,2022-11-03T07:00:00+00:00,44110000,44.11M,45520000,45.52M,0.0571,5.71%
_AMCX,2022-11-03T07:00:00+00:00,27530000,27.53M,43190000,43.19M,0.06570000000000001,6.57%
_AMEH,2022-11-03T07:00:00+00:00,39500000,39.50M,44860000,44.86M,0.1133,11.33%
_AMK,2022-11-03T07:00:00+00:00,22040000,22.04M,73630000,73.63M,0.0173,1.73%
_AMNB,2022-11-03T07:00:00+00:00,10250000,10.25M,10690000,10.69M,0.0106,1.06%
_AMOT,2022-11-03T07:00:00+00:00,13340000,13.34M,15360000,15.36M,0.0175,1.75%
_AMPG,2022-11-03T07:00:00+00:00,6460000,6.46M,9590000,9.59M,0.027400000000000004,2.74%
_AMPH,2022-11-03T07:00:00+00:00,38120000,38.12M,48860000,48.86M,0.050199999999999995,5.02%
_AMPL,2022-11-03T07:00:00+00:00,62730000,62.73M,111040000,111.04M,0.0683,6.83%
_AMPS,2022-11-03T07:00:00+00:00,63740000,63.74M,153310000,153.31M,0.0467,4.67%
_AMPX,2022-11-03T07:00:00+00:00,14920000,14.92M,84170000,84.17M,0.017,1.70%
_AMPY,2022-11-03T07:00:00+00:00,38050000,38.05M,38330000,38.33M,0.0292,2.92%
_AMRK,2022-11-03T07:00:00+00:00,17760000,17.76M,23080000,23.08M,0.0308,3.08%
_AMS,2022-11-03T07:00:00+00:00,3770000,3.77M,6200000,6.20M,0.0005,0.05%
_AMSC,2022-11-03T07:00:00+00:00,27430000,27.43M,27560000,27.56M,0.0216,2.16%
_AMTB,2022-11-03T07:00:00+00:00,22550000,22.55M,33680000,33.68M,0.0296,2.96%
_AMTX,2022-11-03T07:00:00+00:00,33980000,33.98M,34540000,34.54M,0.166,16.60%
_AMYT,2022-11-03T07:00:00+00:00,29620000,29.62M,64160000,64.16M,0.0029,0.29%
_ANAB,2022-11-03T07:00:00+00:00,28140000,28.14M,28200000,28.20M,0.1952,19.52%
_ANDE,2022-11-03T07:00:00+00:00,31970000,31.97M,33850000,33.85M,0.034100000000000005,3.41%
_ANEB,2022-11-03T07:00:00+00:00,10210000,10.21M,23340000,23.34M,0.0022,0.22%
_ANF,2022-11-03T07:00:00+00:00,48150000,48.15M,50440000,50.44M,0.1067,10.67%
_ANGH,2022-11-03T07:00:00+00:00,13120000,13.12M,25770000,25.77M,0.0046,0.46%
_ANGO,2022-11-03T07:00:00+00:00,37140000,37.14M,39300000,39.30M,0.0335,3.35%
_ANIK,2022-11-03T07:00:00+00:00,14320000,14.32M,14550000,14.55M,0.0695,6.95%
_ANIP,2022-11-03T07:00:00+00:00,12920000,12.92M,16270000,16.27M,0.044000000000000004,4.40%
_ANIX,2022-11-03T07:00:00+00:00,29120000,29.12M,30450000,30.45M,0.0223,2.23%
_ANNX,2022-11-03T07:00:00+00:00,42060000,42.06M,47620000,47.62M,0.044500000000000005,4.45%
_ANTX,2022-11-03T07:00:00+00:00,17460000,17.46M,19260000,19.26M,0.0085,0.85%
_ANVS,2022-11-03T07:00:00+00:00,5310000,5.31M,8160000,8.16M,0.0371,3.71%
_AOGO,2022-11-03T07:00:00+00:00,9730000,9.73M,13430000,13.43M,0.0002,0.02%
_AOMR,2022-11-03T07:00:00+00:00,24030000,24.03M,24460000,24.46M,0.0213,2.13%
_AORT,2022-11-03T07:00:00+00:00,37730000,37.73M,40030000,40.03M,0.094,9.40%
_AOSL,2022-11-03T07:00:00+00:00,22260000,22.26M,27270000,27.27M,0.1143,11.43%
_AOUT,2022-11-03T07:00:00+00:00,12800000,12.80M,13440000,13.44M,0.058600000000000006,5.86%
_AP,2022-11-03T07:00:00+00:00,12920000,12.92M,19290000,19.29M,0.04730000000000001,4.73%
_APAC,2022-11-03T07:00:00+00:00,20000000,20.00M,25000000,25.00M,0.0002,0.02%
_APCA,2022-11-03T07:00:00+00:00,17250000,17.25M,21560000,21.56M,0.0,0.00%
_APDN,2022-11-03T07:00:00+00:00,12710000,12.71M,12880000,12.88M,0.1672,16.72%
_APEI,2022-11-03T07:00:00+00:00,18400000,18.40M,18860000,18.86M,0.0487,4.87%
_APEN,2022-11-03T07:00:00+00:00,37410000,37.41M,40360000,40.36M,0.0336,3.36%
_APGN,2022-11-03T07:00:00+00:00,19600000,19.60M,21450000,21.45M,0.0021,0.21%
_APLD,2022-11-03T07:00:00+00:00,58510000,58.51M,93110000,93.11M,0.0355,3.55%
_APN,2022-11-03T07:00:00+00:00,17250000,17.25M,21560000,21.56M,0.0002,0.02%
_APRN,2022-11-03T07:00:00+00:00,8150000,8.15M,34800000,34.80M,0.6465000000000001,64.65%
_APT,2022-11-03T07:00:00+00:00,11420000,11.42M,12830000,12.83M,0.0198,1.98%
_APVO,2022-11-03T07:00:00+00:00,5030000,5.03M,5090000,5.09M,0.0113,1.13%
_APWC,2022-11-03T07:00:00+00:00,3930000,3.93M,20020000,20.02M,0.0059,0.59%
